ID	Product
cds-pgaptmp_000256	hypothetical protein
cds-pgaptmp_003639	alkane 1-monooxygenase
cds-pgaptmp_003638	rubredoxin
cds-pgaptmp_004318	type VII secretion protein EsxS
cds-pgaptmp_004317	WXG100 family type VII secretion target
cds-pgaptmp_002414	MarR family transcriptional regulator
cds-pgaptmp_004070	STAS domain-containing protein
cds-pgaptmp_004071	hypothetical protein
cds-pgaptmp_000168	nuclear transport factor 2 family protein
cds-pgaptmp_001143	hypothetical protein
cds-pgaptmp_001661	hypothetical protein
cds-pgaptmp_003269	HU family DNA-binding protein
cds-pgaptmp_002577	hypothetical protein
cds-pgaptmp_000451	oxidoreductase
cds-pgaptmp_001943	cell division protein SepF
cds-pgaptmp_002369	ANTAR domain-containing protein
cds-pgaptmp_000155	SulP family inorganic anion transporter
cds-pgaptmp_004305	L%2CD-transpeptidase
cds-pgaptmp_003316	STAS domain-containing protein
cds-pgaptmp_004628	diacylglycerol acyltransferase/mycolyltransferase Ag85C
cds-pgaptmp_002491	putative cytokinetic ring protein SteA
cds-pgaptmp_000204	NAD(P)/FAD-dependent oxidoreductase
cds-pgaptmp_003636	TetR family transcriptional regulator
cds-pgaptmp_000068	LpqN/LpqT family lipoprotein
cds-pgaptmp_000381	hypothetical protein
cds-pgaptmp_003357	cytochrome P450
cds-pgaptmp_002717	NlpC/P60 family peptidoglycan endopeptidase RipA
cds-pgaptmp_003494	Rho termination factor N-terminal domain-containing protein
cds-pgaptmp_003457	NADH-quinone oxidoreductase subunit A
cds-pgaptmp_003458	NADH-quinone oxidoreductase subunit B family protein
cds-pgaptmp_003637	rubredoxin
cds-pgaptmp_000509	carbonic anhydrase
cds-pgaptmp_004316	ESX secretion-associated protein EspG
cds-pgaptmp_002490	copper transporter
cds-pgaptmp_002716	NlpC/P60 family peptidoglycan endopeptidase RipB
cds-pgaptmp_004606	TOBE domain-containing protein
cds-pgaptmp_003467	NADH-quinone oxidoreductase subunit NuoK
cds-pgaptmp_003287	DoxX family protein
cds-pgaptmp_002286	GlsB/YeaQ/YmgE family stress response membrane protein
cds-pgaptmp_000370	Rv3717 family N-acetylmuramoyl-L-alanine amidase
cds-pgaptmp_002660	RND family transporter
cds-pgaptmp_002247	transglycosylase family protein
cds-pgaptmp_000510	hypothetical protein
cds-pgaptmp_004179	serine/threonine protein kinase
cds-pgaptmp_001940	cell division protein FtsZ
cds-pgaptmp_004459	virulence factor Mce family protein
cds-pgaptmp_000894	DUF4185 domain-containing protein
cds-pgaptmp_004287	hypothetical protein
cds-pgaptmp_004664	cutinase family protein
cds-pgaptmp_001662	hypothetical protein
cds-pgaptmp_002413	class I SAM-dependent methyltransferase
cds-pgaptmp_003582	MmpS family transport accessory protein
cds-pgaptmp_001480	holo-ACP synthase
cds-pgaptmp_004458	virulence factor Mce family protein
cds-pgaptmp_003461	NADH-quinone oxidoreductase subunit NuoE
cds-pgaptmp_002250	lipoprotein LpqH
cds-pgaptmp_000203	TetR/AcrR family transcriptional regulator
cds-pgaptmp_003469	NADH-quinone oxidoreductase subunit M
cds-pgaptmp_002314	MerR family transcriptional regulator
cds-pgaptmp_001898	DUF5994 family protein
cds-pgaptmp_001084	exodeoxyribonuclease VII small subunit
cds-pgaptmp_002661	RND family transporter
cds-pgaptmp_004301	Hsp70 family protein
cds-pgaptmp_003459	NADH-quinone oxidoreductase subunit C
cds-pgaptmp_002791	LLM class flavin-dependent oxidoreductase
cds-pgaptmp_003464	NADH-quinone oxidoreductase subunit NuoH
cds-pgaptmp_001981	DUF3329 domain-containing protein
cds-pgaptmp_003463	NADH-quinone oxidoreductase subunit G
cds-pgaptmp_004460	MCE family protein
cds-pgaptmp_004461	virulence factor Mce family protein
cds-pgaptmp_003179	MPT63 family protein
cds-pgaptmp_003462	NADH-quinone oxidoreductase subunit NuoF
cds-pgaptmp_003466	NADH-quinone oxidoreductase subunit J
cds-pgaptmp_000806	ABC transporter permease
cds-pgaptmp_002351	PPE family protein
cds-pgaptmp_004415	NYN domain-containing protein
cds-pgaptmp_000870	septation protein SepH
cds-pgaptmp_001931	penicillin-binding protein 2
cds-pgaptmp_001734	hypothetical protein
cds-pgaptmp_002084	DUF3349 domain-containing protein
cds-pgaptmp_004462	MCE family protein
cds-pgaptmp_000382	sensor domain-containing protein
cds-pgaptmp_004161	DUF3263 domain-containing protein
cds-pgaptmp_004590	SDR family oxidoreductase
cds-pgaptmp_000807	ABC transporter permease
cds-pgaptmp_000810	MCE family protein
cds-pgaptmp_004119	isocitrate lyase
cds-pgaptmp_002143	cellulose-binding domain-containing protein
cds-pgaptmp_004416	MMPL family transporter
cds-pgaptmp_002331	DUF732 domain-containing protein
cds-pgaptmp_004634	elongation factor G-like protein EF-G2
cds-pgaptmp_003470	NADH-quinone oxidoreductase subunit NuoN
cds-pgaptmp_002928	TetR/AcrR family transcriptional regulator
